  Paikka;Aika;Arvo
973;1847.01.01 00:00;422.00
973;1847.01.02 00:00;422.00
973;1847.01.03 00:00;422.00
973;1847.01.04 00:00;422.00
973;1847.01.05 00:00;422.00
973;1847.01.06 00:00;422.00
973;1847.01.07 00:00;422.00
973;1847.01.08 00:00;422.00
973;1847.01.09 00:00;422.00
973;1847.01.10 00:00;422.00
973;1847.01.11 00:00;422.00
973;1847.01.12 00:00;422.00
973;1847.01.13 00:00;422.00
973;1847.01.14 00:00;422.00
973;1847.01.15 00:00;422.00
973;1847.01.16 00:00;422.00
973;1847.01.17 00:00;422.00
973;1847.01.18 00:00;422.00
973;1847.01.19 00:00;422.00
973;1847.01.20 00:00;422.00
973;1847.01.21 00:00;422.00
973;1847.01.22 00:00;422.00
973;1847.01.23 00:00;422.00
973;1847.01.24 00:00;422.00
973;1847.01.25 00:00;422.00
973;1847.01.26 00:00;422.00
973;1847.01.27 00:00;422.00
973;1847.01.28 00:00;422.00
973;1847.01.29 00:00;422.00
973;1847.01.30 00:00;422.00
973;1847.01.31 00:00;422.00
973;1847.02.01 00:00;422.00
973;1847.02.02 00:00;422.00
973;1847.02.03 00:00;422.00
973;1847.02.04 00:00;422.00
973;1847.02.05 00:00;422.00
973;1847.02.06 00:00;422.00
973;1847.02.07 00:00;422.00
973;1847.02.08 00:00;422.00
973;1847.02.09 00:00;422.00
973;1847.02.10 00:00;422.00
973;1847.02.11 00:00;422.00
973;1847.02.12 00:00;422.00
973;1847.02.13 00:00;422.00
973;1847.02.14 00:00;422.00
973;1847.02.15 00:00;422.00
973;1847.02.16 00:00;422.00
973;1847.02.17 00:00;422.00
973;1847.02.18 00:00;422.00
973;1847.02.19 00:00;422.00
973;1847.02.20 00:00;422.00
973;1847.02.21 00:00;422.00
973;1847.02.22 00:00;422.00
973;1847.02.23 00:00;422.00
973;1847.02.24 00:00;422.00
973;1847.02.25 00:00;422.00
973;1847.02.26 00:00;422.00
973;1847.02.27 00:00;422.00
973;1847.02.28 00:00;422.00
973;1847.03.01 00:00;422.00
973;1847.03.02 00:00;419.00
973;1847.03.03 00:00;419.00
973;1847.03.04 00:00;417.00
973;1847.03.05 00:00;417.00
973;1847.03.06 00:00;414.00
973;1847.03.07 00:00;414.00
973;1847.03.08 00:00;412.00
973;1847.03.09 00:00;409.00
973;1847.03.10 00:00;409.00
973;1847.03.11 00:00;407.00
973;1847.03.12 00:00;407.00
973;1847.03.13 00:00;404.00
973;1847.03.14 00:00;402.00
973;1847.03.15 00:00;402.00
973;1847.03.16 00:00;400.00
973;1847.03.17 00:00;397.00
973;1847.03.18 00:00;397.00
973;1847.03.19 00:00;394.00
973;1847.03.20 00:00;392.00
973;1847.03.21 00:00;389.00
973;1847.03.22 00:00;387.00
973;1847.03.23 00:00;387.00
973;1847.03.24 00:00;385.00
973;1847.03.25 00:00;385.00
973;1847.03.26 00:00;385.00
973;1847.03.27 00:00;382.00
973;1847.03.28 00:00;382.00
973;1847.03.29 00:00;380.00
973;1847.03.30 00:00;380.00
973;1847.03.31 00:00;377.00
973;1847.04.01 00:00;377.00
973;1847.04.02 00:00;377.00
973;1847.04.03 00:00;377.00
973;1847.04.04 00:00;377.00
973;1847.04.05 00:00;375.00
973;1847.04.06 00:00;375.00
973;1847.04.07 00:00;375.00
973;1847.04.08 00:00;375.00
973;1847.04.09 00:00;375.00
973;1847.04.10 00:00;375.00
973;1847.04.11 00:00;372.00
973;1847.04.12 00:00;372.00
973;1847.04.13 00:00;372.00
973;1847.04.14 00:00;370.00
973;1847.04.15 00:00;370.00
973;1847.04.16 00:00;370.00
973;1847.04.17 00:00;370.00
973;1847.04.18 00:00;370.00
973;1847.04.19 00:00;370.00
973;1847.04.20 00:00;370.00
973;1847.04.21 00:00;367.00
973;1847.04.22 00:00;367.00
973;1847.04.23 00:00;367.00
973;1847.04.24 00:00;367.00
973;1847.04.25 00:00;367.00
973;1847.04.26 00:00;365.00
973;1847.04.27 00:00;365.00
973;1847.04.28 00:00;365.00
973;1847.04.29 00:00;362.00
973;1847.04.30 00:00;362.00
973;1847.05.01 00:00;362.00
973;1847.05.02 00:00;365.00
973;1847.05.03 00:00;367.00
973;1847.05.04 00:00;370.00
973;1847.05.05 00:00;370.00
973;1847.05.06 00:00;372.00
973;1847.05.07 00:00;375.00
973;1847.05.08 00:00;377.00
973;1847.05.09 00:00;380.00
973;1847.05.10 00:00;380.00
973;1847.05.11 00:00;382.00
973;1847.05.12 00:00;385.00
973;1847.05.13 00:00;387.00
973;1847.05.14 00:00;389.00
973;1847.05.15 00:00;389.00
973;1847.05.16 00:00;392.00
973;1847.05.17 00:00;397.00
973;1847.05.18 00:00;400.00
973;1847.05.19 00:00;404.00
973;1847.05.20 00:00;409.00
973;1847.05.21 00:00;412.00
973;1847.05.22 00:00;417.00
973;1847.05.23 00:00;419.00
973;1847.05.24 00:00;424.00
973;1847.05.25 00:00;430.00
973;1847.05.26 00:00;435.00
973;1847.05.27 00:00;438.00
973;1847.05.28 00:00;443.00
973;1847.05.29 00:00;448.00
973;1847.05.30 00:00;450.00
973;1847.05.31 00:00;456.00
973;1847.06.01 00:00;461.00
973;1847.06.02 00:00;456.00
973;1847.06.03 00:00;453.00
973;1847.06.04 00:00;448.00
973;1847.06.05 00:00;443.00
973;1847.06.06 00:00;438.00
973;1847.06.07 00:00;435.00
973;1847.06.08 00:00;430.00
973;1847.06.09 00:00;427.00
973;1847.06.10 00:00;424.00
973;1847.06.11 00:00;422.00
973;1847.06.12 00:00;422.00
973;1847.06.13 00:00;419.00
973;1847.06.14 00:00;417.00
973;1847.06.15 00:00;414.00
